Year,kms Driven,Fuel Type,Suspension,Price,Car Model
2014,20663,Petrol,Manual,425000.0,Honda Amaze S
2017,29401,Petrol,Manual,715000.0,Honda BR-V i-VTEC
2020,18731,Petrol,Automatic,790000.0,Honda Amaze VX
2018,67181,Petrol,Automatic,825000.0,Honda City i-VTEC
2009,78766,Petrol,Automatic,270000.0,Honda City 1.5
2010,70000,Petrol,Manual,275000.0,Honda City 1.5
2017,70000,Petrol,Manual,750000.0,Honda City i
2020,30000,Petrol,Automatic,1150000.0,Honda City i-VTEC
2017,28000,Petrol,Manual,800000.0,Honda City i
2008,131474,Petrol,Manual,150000.0,Honda City GXi
2014,149237,Diesel,Manual,300000.0,Honda City i
2009,108406,Petrol,Manual,180000.0,Honda City 1.5
2013,74424,Petrol,Manual,229999.99999999997,Honda Brio S
2018,64812,Diesel,Manual,600000.0,Honda Amaze S
2016,32291,Petrol,Manual,700000.0,Honda City i
2009,65000,Petrol,Manual,245000.00000000003,Honda Civic 1.8
2016,78982,Petrol,Automatic,800000.0,Honda City i
2010,76000,Petrol,Manual,260000.0,Honda City 1.5
2008,71000,Petrol,Automatic,195000.0,Honda Civic 1.8
2009,103913,Petrol,Manual,231999.99999999997,Honda City 1.5
2019,21000,Petrol,Manual,734000.0,Honda Amaze VX
2020,35000,Petrol,Manual,799000.0,Honda City i-VTEC
2019,35000,Petrol,Manual,799000.0,Honda City i-VTEC
2014,135538,Diesel,Manual,350000.0,Honda City i
2014,116734,Diesel,Manual,550000.0,Honda Mobilio S
2019,22000,Petrol,Manual,600000.0,Honda Amaze S
2019,22000,Petrol,Manual,965000.0,Honda City V
2009,73193,Petrol,Manual,196000.0,Honda City 1.5
2017,43741,Diesel,Manual,650000.0,Honda WR-V i-DTEC
2015,56597,Diesel,Manual,515000.00000000006,Honda City i
2015,94972,Petrol,Manual,660000.0,Honda City i
2016,92448,Petrol,Manual,450000.0,Honda Jazz 1.2
2011,70000,Petrol,Automatic,375000.0,Honda City 1.5
2011,81846,Petrol,Manual,386000.0,Honda City S
2018,56400,Petrol,Manual,699000.0,Honda Amaze VX
